====================================================================================================
UTQG MASTER SCIENTIFIC AUDIT: 160-SCENARIO UNIVERSAL SUITE
====================================================================================================

[01] Higgs Boson (125 GeV)               | Ratio: 2.08e-34 | Error: N/A      | PREDICTED
[02] Top Quark (173 GeV)                 | Ratio: 4.01e-34 | Error: N/A      | PREDICTED
[03] Electron (0.511 MeV)                | Ratio: 3.50e-45 | Error: N/A      | PREDICTED
[04] Proton (938 MeV)                    | Ratio: 1.18e-38 | Error: N/A      | PREDICTED
[11] One Grain of Sand                   | Ratio: 1.06e+01 | Error: N/A      | PREDICTED
[13] Human Being (Average)               | Ratio: 2.07e+19 | Error: N/A      | PREDICTED
[14] Mount Everest                       | Ratio: 2.77e+45 | Error: N/A      | PREDICTED
[16] The Moon                            | Ratio: 2.27e+61 | Error: 0.0147%  | VERIFIED
[17] Mars                                | Ratio: 1.72e+63 | Error: 0.0986%  | VERIFIED
[18] Venus                               | Ratio: 9.97e+64 | Error: 0.1628%  | VERIFIED
[19] Earth                               | Ratio: 1.50e+65 | Error: 0.0357%  | VERIFIED
[20] Jupiter                             | Ratio: 1.51e+70 | Error: 0.4579%  | VERIFIED
[21] Saturn                              | Ratio: 1.36e+69 | Error: 0.4300%  | VERIFIED
[22] Uranus                              | Ratio: 3.18e+67 | Error: 0.0635%  | VERIFIED
[23] Neptune                             | Ratio: 4.39e+67 | Error: 0.3331%  | VERIFIED
[26] Alpha Centauri A                    | Ratio: 2.02e+76 | Error: 0.0043%  | VERIFIED
[27] Sirius A                            | Ratio: 7.09e+76 | Error: 0.0049%  | VERIFIED
[28] Betelgeuse (Red Supergiant)         | Ratio: 2.25e+78 | Error: 0.0043%  | VERIFIED
[31] Milky Way Galaxy (Total)            | Ratio: 3.76e+100 | Error: N/A      | PREDICTED
[32] Andromeda Galaxy (M31)              | Ratio: 1.67e+100 | Error: N/A      | PREDICTED
[37] Planck Scale (Singularity)          | Ratio: 2.00e+00 | Error: 0.0399%  | VERIFIED
[39] International Space Station         | Ratio: 7.45e+26 | Error: N/A      | PREDICTED
[40] Total Information Bound (Universe)  | Ratio: 9.50e+121 | Error: N/A      | PREDICTED
[01] Human DNA (Genome)                  | Ratio: 4.06e-08 | Error: N/A      | PREDICTED
[02] Human Brain (Complexity)            | Ratio: 9.50e+15 | Error: N/A      | PREDICTED
[03] SARS-CoV-2 Virion                   | Ratio: 4.22e-21 | Error: N/A      | PREDICTED
[04] Tardigrade (Water Bear)             | Ratio: 4.22e+01 | Error: N/A      | PREDICTED
[05] Giant Sequoia (Redwood)             | Ratio: 4.22e+27 | Error: N/A      | PREDICTED
[06] Blue Whale                          | Ratio: 1.52e+26 | Error: N/A      | PREDICTED
[07] E. Coli Bacterium                   | Ratio: 4.22e-15 | Error: N/A      | PREDICTED
[08] Mitochondrion                       | Ratio: 4.22e-17 | Error: N/A      | PREDICTED
[09] Mycoplasma Genitalium               | Ratio: 4.22e-19 | Error: N/A      | PREDICTED
[10] Social Network (Global)             | Ratio: 4.22e+39 | Error: N/A      | PREDICTED
[11] GW150914 BH Merger                  | Ratio: 6.42e+79 | Error: 0.0131%  | VERIFIED
[12] SN1987A Supernova Core              | Ratio: 3.27e+76 | Error: N/A      | PREDICTED
[13] Crab Pulsar                         | Ratio: 3.27e+76 | Error: N/A      | PREDICTED
[14] Sgr A* (Galactic Center)            | Ratio: 2.81e+89 | Error: N/A      | PREDICTED
